year,address,county,project,level,major,num
2019年,长春,双阳区,省级计划,小学,语文,10
2019年,长春,双阳区,省级计划,小学,数学,7
2019年,长春,双阳区,省级计划,小学,英语,5
2019年,长春,双阳区,省级计划,小学,物理,0
2019年,长春,双阳区,省级计划,小学,化学,0
2019年,长春,双阳区,省级计划,小学,生物,0
2019年,长春,双阳区,省级计划,小学,科学,3
2019年,长春,双阳区,省级计划,小学,地理,0
2019年,长春,双阳区,省级计划,小学,历史,0
2019年,长春,双阳区,省级计划,小学,道德与法治（品德与社会）,1
2019年,长春,双阳区,省级计划,小学,信息技术,3
2019年,长春,双阳区,省级计划,小学,思想品德,0
2019年,长春,双阳区,省级计划,小学,音乐,1
2019年,长春,双阳区,省级计划,小学,体育,8
2019年,长春,双阳区,省级计划,小学,美术,2
2019年,长春,双阳区,省级计划,小学,其他,0
2019年,长春,双阳区,省级计划,初中,语文,4
2019年,长春,双阳区,省级计划,初中,数学,2
2019年,长春,双阳区,省级计划,初中,英语,1
2019年,长春,双阳区,省级计划,初中,物理,3
2019年,长春,双阳区,省级计划,初中,化学,2
2019年,长春,双阳区,省级计划,初中,生物,5
2019年,长春,双阳区,省级计划,初中,科学,0
2019年,长春,双阳区,省级计划,初中,地理,1
2019年,长春,双阳区,省级计划,初中,历史,3
2019年,长春,双阳区,省级计划,初中,道德与法治（品德与社会）,0
2019年,长春,双阳区,省级计划,初中,信息技术,3
2019年,长春,双阳区,省级计划,初中,思想品德,2
2019年,长春,双阳区,省级计划,初中,音乐,1
2019年,长春,双阳区,省级计划,初中,体育,1
2019年,长春,双阳区,省级计划,初中,美术,0
2019年,长春,双阳区,省级计划,初中,其他,0
2019年,长春,九台区,省级计划,小学,语文,2
2019年,长春,九台区,省级计划,小学,数学,3
2019年,长春,九台区,省级计划,小学,英语,3
2019年,长春,九台区,省级计划,小学,物理,0
2019年,长春,九台区,省级计划,小学,化学,0
2019年,长春,九台区,省级计划,小学,生物,0
2019年,长春,九台区,省级计划,小学,科学,0
2019年,长春,九台区,省级计划,小学,地理,0
2019年,长春,九台区,省级计划,小学,历史,0
2019年,长春,九台区,省级计划,小学,道德与法治（品德与社会）,0
2019年,长春,九台区,省级计划,小学,信息技术,0
2019年,长春,九台区,省级计划,小学,思想品德,0
2019年,长春,九台区,省级计划,小学,音乐,1
2019年,长春,九台区,省级计划,小学,体育,3
2019年,长春,九台区,省级计划,小学,美术,2
2019年,长春,九台区,省级计划,小学,其他,0
2019年,长春,九台区,省级计划,初中,语文,4
2019年,长春,九台区,省级计划,初中,数学,2
2019年,长春,九台区,省级计划,初中,英语,2
2019年,长春,九台区,省级计划,初中,物理,1
2019年,长春,九台区,省级计划,初中,化学,0
2019年,长春,九台区,省级计划,初中,生物,2
2019年,长春,九台区,省级计划,初中,科学,0
